2019-03-25 15:22:33.154 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 138
2019-03-25 15:22:33.156 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 138
2019-03-25 15:22:33.156 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 139
2019-03-25 15:22:33.158 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 139
2019-03-25 15:22:33.158 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 140
2019-03-25 15:22:33.161 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 140
2019-03-25 15:22:33.161 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 141
2019-03-25 15:22:33.163 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 141
2019-03-25 15:22:33.163 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 142
2019-03-25 15:22:33.166 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 142
